PassengerId,Survived,Pclass,Name,Age,SibSp,Parch,Ticket,Fare,Cabin,Age_filled,Age_by_class,Has_Cabin,Title,FamilySize,IsAlone,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_U
16,True,2,"Hewlett, Mrs. (Mary D Kingcome) ",55.0,0,0,248706,16.0,,55.0,55.0,0,Mrs,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True
17,False,3,"Rice, Master. Eugene",2.0,4,1,382652,29.125,,2.0,2.0,0,Master,6,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True
18,True,2,"Williams, Mr. Charles Eugene",,0,0,244373,13.0,,28.0,29.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
19,False,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0,1,0,345763,18.0,,31.0,31.0,0,Mrs,2,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
20,True,3,"Masselmani, Mrs. Fatima",,0,0,2649,7.225,,28.0,24.0,0,Mrs,1,1,True,False,True,False,False,False,False,False,False,False,False,False,False,True
21,False,2,"Fynney, Mr. Joseph J",35.0,0,0,239865,26.0,,35.0,35.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
22,True,2,"Beesley, Mr. Lawrence",34.0,0,0,248698,13.0,D56,34.0,34.0,1,Mr,1,1,False,True,False,False,True,False,False,False,True,False,False,False,False,False
23,True,3,"McGowan, Miss. Anna ""Annie""",15.0,0,0,330923,8.0292,,15.0,15.0,0,Miss,1,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True
24,True,1,"Sloper, Mr. William Thompson",28.0,0,0,113788,35.5,A6,28.0,28.0,1,Mr,1,1,False,True,False,False,True,True,False,False,False,False,False,False,False,False
25,False,3,"Palsson, Miss. Torborg Danira",8.0,3,1,349909,21.075,,8.0,8.0,0,Miss,5,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
26,True,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,1,5,347077,31.3875,,38.0,38.0,0,Mrs,7,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
27,False,3,"Emir, Mr. Farred Chehab",,0,0,2631,7.225,,28.0,24.0,0,Mr,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True
28,False,1,"Fortune, Mr. Charles Alexander",19.0,3,2,19950,263.0,C23 C25 C27,19.0,19.0,1,Mr,6,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
29,True,3,"O'Dwyer, Miss. Ellen ""Nellie""",,0,0,330959,7.8792,,28.0,24.0,0,Miss,1,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True
30,False,3,"Todoroff, Mr. Lalio",,0,0,349216,7.8958,,28.0,24.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
31,False,1,"Uruchurtu, Don. Manuel E",40.0,0,0,PC 17601,27.7208,,40.0,40.0,0,Don,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True
32,True,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",,1,0,PC 17569,146.5208,B78,28.0,37.0,1,Mrs,2,0,True,False,True,False,False,False,True,False,False,False,False,False,False,False
33,True,3,"Glynn, Miss. Mary Agatha",,0,0,335677,7.75,,28.0,24.0,0,Miss,1,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True
34,False,2,"Wheadon, Mr. Edward H",66.0,0,0,C.A. 24579,10.5,,66.0,66.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
35,False,1,"Meyer, Mr. Edgar Joseph",28.0,1,0,PC 17604,82.1708,,28.0,28.0,0,Mr,2,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True
36,False,1,"Holverson, Mr. Alexander Oskar",42.0,1,0,113789,52.0,,42.0,42.0,0,Mr,2,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
37,True,3,"Mamee, Mr. Hanna",,0,0,2677,7.2292,,28.0,24.0,0,Mr,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True
38,False,3,"Cann, Mr. Ernest Charles",21.0,0,0,A./5. 2152,8.05,,21.0,21.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
39,False,3,"Vander Planke, Miss. Augusta Maria",18.0,2,0,345764,18.0,,18.0,18.0,0,Miss,3,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
40,True,3,"Nicola-Yarred, Miss. Jamila",14.0,1,0,2651,11.2417,,14.0,14.0,0,Miss,2,0,True,False,True,False,False,False,False,False,False,False,False,False,False,True
41,False,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,1,0,7546,9.475,,40.0,40.0,0,Mrs,2,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
42,False,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0,1,0,11668,21.0,,27.0,27.0,0,Mrs,2,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
43,False,3,"Kraeff, Mr. Theodor",,0,0,349253,7.8958,,28.0,24.0,0,Mr,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True
44,True,2,"Laroche, Miss. Simonne Marie Anne Andree",3.0,1,2,SC/Paris 2123,41.5792,,3.0,3.0,0,Miss,4,0,True,False,True,False,False,False,False,False,False,False,False,False,False,True
45,True,3,"Devaney, Miss. Margaret Delia",19.0,0,0,330958,7.8792,,19.0,19.0,0,Miss,1,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True
46,False,3,"Rogers, Mr. William John",,0,0,S.C./A.4. 23567,8.05,,28.0,24.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
47,False,3,"Lennon, Mr. Denis",,1,0,370371,15.5,,28.0,24.0,0,Mr,2,0,False,True,False,True,False,False,False,False,False,False,False,False,False,True
48,True,3,"O'Driscoll, Miss. Bridget",,0,0,14311,7.75,,28.0,24.0,0,Miss,1,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True
49,False,3,"Samaan, Mr. Youssef",,2,0,2662,21.6792,,28.0,24.0,0,Mr,3,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True
50,False,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,1,0,349237,17.8,,18.0,18.0,0,Mrs,2,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
51,False,3,"Panula, Master. Juha Niilo",7.0,4,1,3101295,39.6875,,7.0,7.0,0,Master,6,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
52,False,3,"Nosworthy, Mr. Richard Cater",21.0,0,0,A/4. 39886,7.8,,21.0,21.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
53,True,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,1,0,PC 17572,76.7292,D33,49.0,49.0,1,Mrs,2,0,True,False,True,False,False,False,False,False,True,False,False,False,False,False
54,True,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,1,0,2926,26.0,,29.0,29.0,0,Mrs,2,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
55,False,1,"Ostby, Mr. Engelhart Cornelius",65.0,0,1,113509,61.9792,B30,65.0,65.0,1,Mr,2,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False
56,True,1,"Woolner, Mr. Hugh",,0,0,19947,35.5,C52,28.0,37.0,1,Mr,1,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False
57,True,2,"Rugg, Miss. Emily",21.0,0,0,C.A. 31026,10.5,,21.0,21.0,0,Miss,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True
58,False,3,"Novel, Mr. Mansouer",28.5,0,0,2697,7.2292,,28.5,28.5,0,Mr,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True
59,True,2,"West, Miss. Constance Mirium",5.0,1,2,C.A. 34651,27.75,,5.0,5.0,0,Miss,4,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
60,False,3,"Goodwin, Master. William Frederick",11.0,5,2,CA 2144,46.9,,11.0,11.0,0,Master,8,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
61,False,3,"Sirayanian, Mr. Orsen",22.0,0,0,2669,7.2292,,22.0,22.0,0,Mr,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True
62,True,1,"Icard, Miss. Amelie",38.0,0,0,113572,80.0,B28,38.0,38.0,1,Miss,1,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False
63,False,1,"Harris, Mr. Henry Birkhardt",45.0,1,0,36973,83.475,C83,45.0,45.0,1,Mr,2,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
64,False,3,"Skoog, Master. Harald",4.0,3,2,347088,27.9,,4.0,4.0,0,Master,6,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
65,False,1,"Stewart, Mr. Albert A",,0,0,PC 17605,27.7208,,28.0,37.0,0,Mr,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True
66,True,3,"Moubarek, Master. Gerios",,1,1,2661,15.2458,,28.0,24.0,0,Master,3,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True
67,True,2,"Nye, Mrs. (Elizabeth Ramell)",29.0,0,0,C.A. 29395,10.5,F33,29.0,29.0,1,Mrs,1,1,True,False,False,False,True,False,False,False,False,False,True,False,False,False
68,False,3,"Crease, Mr. Ernest James",19.0,0,0,S.P. 3464,8.1583,,19.0,19.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
69,True,3,"Andersson, Miss. Erna Alexandra",17.0,4,2,3101281,7.925,,17.0,17.0,0,Miss,7,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
70,False,3,"Kink, Mr. Vincenz",26.0,2,0,315151,8.6625,,26.0,26.0,0,Mr,3,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
71,False,2,"Jenkin, Mr. Stephen Curnow",32.0,0,0,C.A. 33111,10.5,,32.0,32.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
72,False,3,"Goodwin, Miss. Lillian Amy",16.0,5,2,CA 2144,46.9,,16.0,16.0,0,Miss,8,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
73,False,2,"Hood, Mr. Ambrose Jr",21.0,0,0,S.O.C. 14879,73.5,,21.0,21.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
74,False,3,"Chronopoulos, Mr. Apostolos",26.0,1,0,2680,14.4542,,26.0,26.0,0,Mr,2,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True
75,True,3,"Bing, Mr. Lee",32.0,0,0,1601,56.4958,,32.0,32.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
76,False,3,"Moen, Mr. Sigurd Hansen",25.0,0,0,348123,7.65,F G73,25.0,25.0,1,Mr,1,1,False,True,False,False,True,False,False,False,False,False,True,False,False,False
77,False,3,"Staneff, Mr. Ivan",,0,0,349208,7.8958,,28.0,24.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
78,False,3,"Moutal, Mr. Rahamin Haim",,0,0,374746,8.05,,28.0,24.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
79,True,2,"Caldwell, Master. Alden Gates",0.83,0,2,248738,29.0,,0.83,0.83,0,Master,3,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
80,True,3,"Dowdell, Miss. Elizabeth",30.0,0,0,364516,12.475,,30.0,30.0,0,Miss,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True
81,False,3,"Waelens, Mr. Achille",22.0,0,0,345767,9.0,,22.0,22.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
82,True,3,"Sheerlinck, Mr. Jan Baptist",29.0,0,0,345779,9.5,,29.0,29.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
83,True,3,"McDermott, Miss. Brigdet Delia",,0,0,330932,7.7875,,28.0,24.0,0,Miss,1,1,True,False,False,True,False,False,False,False,False,False,False,False,False,True
84,False,1,"Carrau, Mr. Francisco M",28.0,0,0,113059,47.1,,28.0,28.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
85,True,2,"Ilett, Miss. Bertha",17.0,0,0,SO/C 14885,10.5,,17.0,17.0,0,Miss,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True
86,True,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0,3,0,3101278,15.85,,33.0,33.0,0,Mrs,4,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
87,False,3,"Ford, Mr. William Neal",16.0,1,3,W./C. 6608,34.375,,16.0,16.0,0,Mr,5,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
88,False,3,"Slocovski, Mr. Selman Francis",,0,0,SOTON/OQ 392086,8.05,,28.0,24.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
89,True,1,"Fortune, Miss. Mabel Helen",23.0,3,2,19950,263.0,C23 C25 C27,23.0,23.0,1,Miss,6,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False
90,False,3,"Celotti, Mr. Francesco",24.0,0,0,343275,8.05,,24.0,24.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
91,False,3,"Christmann, Mr. Emil",29.0,0,0,343276,8.05,,29.0,29.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
92,False,3,"Andreasson, Mr. Paul Edvin",20.0,0,0,347466,7.8542,,20.0,20.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
93,False,1,"Chaffee, Mr. Herbert Fuller",46.0,1,0,W.E.P. 5734,61.175,E31,46.0,46.0,1,Mr,2,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False
94,False,3,"Dean, Mr. Bertram Frank",26.0,1,2,C.A. 2315,20.575,,26.0,26.0,0,Mr,4,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
95,False,3,"Coxon, Mr. Daniel",59.0,0,0,364500,7.25,,59.0,59.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
96,False,3,"Shorney, Mr. Charles Joseph",,0,0,374910,8.05,,28.0,24.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
97,False,1,"Goldschmidt, Mr. George B",71.0,0,0,PC 17754,34.6542,A5,71.0,71.0,1,Mr,1,1,False,True,True,False,False,True,False,False,False,False,False,False,False,False
98,True,1,"Greenfield, Mr. William Bertram",23.0,0,1,PC 17759,63.3583,D10 D12,23.0,23.0,1,Mr,2,0,False,True,True,False,False,False,False,False,True,False,False,False,False,False
99,True,2,"Doling, Mrs. John T (Ada Julia Bone)",34.0,0,1,231919,23.0,,34.0,34.0,0,Mrs,2,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
100,False,2,"Kantor, Mr. Sinai",34.0,1,0,244367,26.0,,34.0,34.0,0,Mr,2,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
101,False,3,"Petranec, Miss. Matilda",28.0,0,0,349245,7.8958,,28.0,28.0,0,Miss,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True
102,False,3,"Petroff, Mr. Pastcho (""Pentcho"")",,0,0,349215,7.8958,,28.0,24.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
103,False,1,"White, Mr. Richard Frasar",21.0,0,1,35281,77.2875,D26,21.0,21.0,1,Mr,2,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False
104,False,3,"Johansson, Mr. Gustaf Joel",33.0,0,0,7540,8.6542,,33.0,33.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
105,False,3,"Gustafsson, Mr. Anders Vilhelm",37.0,2,0,3101276,7.925,,37.0,37.0,0,Mr,3,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
106,False,3,"Mionoff, Mr. Stoytcho",28.0,0,0,349207,7.8958,,28.0,28.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
107,True,3,"Salkjelsvik, Miss. Anna Kristine",21.0,0,0,343120,7.65,,21.0,21.0,0,Miss,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True
108,True,3,"Moss, Mr. Albert Johan",,0,0,312991,7.775,,28.0,24.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
109,False,3,"Rekic, Mr. Tido",38.0,0,0,349249,7.8958,,38.0,38.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
110,True,3,"Moran, Miss. Bertha",,1,0,371110,24.15,,28.0,24.0,0,Miss,2,0,True,False,False,True,False,False,False,False,False,False,False,False,False,True
111,False,1,"Porter, Mr. Walter Chamberlain",47.0,0,0,110465,52.0,C110,47.0,47.0,1,Mr,1,1,False,True,False,False,True,False,False,True,False,False,False,False,False,False
112,False,3,"Zabour, Miss. Hileni",14.5,1,0,2665,14.4542,,14.5,14.5,0,Miss,2,0,True,False,True,False,False,False,False,False,False,False,False,False,False,True
113,False,3,"Barton, Mr. David John",22.0,0,0,324669,8.05,,22.0,22.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
114,False,3,"Jussila, Miss. Katriina",20.0,1,0,4136,9.825,,20.0,20.0,0,Miss,2,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
115,False,3,"Attalah, Miss. Malake",17.0,0,0,2627,14.4583,,17.0,17.0,0,Miss,1,1,True,False,True,False,False,False,False,False,False,False,False,False,False,True
116,False,3,"Pekoniemi, Mr. Edvard",21.0,0,0,STON/O 2. 3101294,7.925,,21.0,21.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
117,False,3,"Connors, Mr. Patrick",70.5,0,0,370369,7.75,,70.5,70.5,0,Mr,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
118,False,2,"Turpin, Mr. William John Robert",29.0,1,0,11668,21.0,,29.0,29.0,0,Mr,2,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
119,False,1,"Baxter, Mr. Quigg Edmond",24.0,0,1,PC 17558,247.5208,B58 B60,24.0,24.0,1,Mr,2,0,False,True,True,False,False,False,True,False,False,False,False,False,False,False
120,False,3,"Andersson, Miss. Ellis Anna Maria",2.0,4,2,347082,31.275,,2.0,2.0,0,Miss,7,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
121,False,2,"Hickman, Mr. Stanley George",21.0,2,0,S.O.C. 14879,73.5,,21.0,21.0,0,Mr,3,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
122,False,3,"Moore, Mr. Leonard Charles",,0,0,A4. 54510,8.05,,28.0,24.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
123,False,2,"Nasser, Mr. Nicholas",32.5,1,0,237736,30.0708,,32.5,32.5,0,Mr,2,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True
124,True,2,"Webber, Miss. Susan",32.5,0,0,27267,13.0,E101,32.5,32.5,1,Miss,1,1,True,False,False,False,True,False,False,False,False,True,False,False,False,False
125,False,1,"White, Mr. Percival Wayland",54.0,0,1,35281,77.2875,D26,54.0,54.0,1,Mr,2,0,False,True,False,False,True,False,False,False,True,False,False,False,False,False
126,True,3,"Nicola-Yarred, Master. Elias",12.0,1,0,2651,11.2417,,12.0,12.0,0,Master,2,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True
127,False,3,"McMahon, Mr. Martin",,0,0,370372,7.75,,28.0,24.0,0,Mr,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
128,True,3,"Madsen, Mr. Fridtjof Arne",24.0,0,0,C 17369,7.1417,,24.0,24.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
129,True,3,"Peter, Miss. Anna",,1,1,2668,22.3583,F E69,28.0,24.0,1,Miss,3,0,True,False,True,False,False,False,False,False,False,False,True,False,False,False
130,False,3,"Ekstrom, Mr. Johan",45.0,0,0,347061,6.975,,45.0,45.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
131,False,3,"Drazenoic, Mr. Jozef",33.0,0,0,349241,7.8958,,33.0,33.0,0,Mr,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True
132,False,3,"Coelho, Mr. Domingos Fernandeo",20.0,0,0,SOTON/O.Q. 3101307,7.05,,20.0,20.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
133,False,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",47.0,1,0,A/5. 3337,14.5,,47.0,47.0,0,Mrs,2,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
134,True,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0,1,0,228414,26.0,,29.0,29.0,0,Mrs,2,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
135,False,2,"Sobey, Mr. Samuel James Hayden",25.0,0,0,C.A. 29178,13.0,,25.0,25.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
136,False,2,"Richard, Mr. Emile",23.0,0,0,SC/PARIS 2133,15.0458,,23.0,23.0,0,Mr,1,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True
137,True,1,"Newsom, Miss. Helen Monypeny",19.0,0,2,11752,26.2833,D47,19.0,19.0,1,Miss,3,0,True,False,False,False,True,False,False,False,True,False,False,False,False,False
138,False,1,"Futrelle, Mr. Jacques Heath",37.0,1,0,113803,53.1,C123,37.0,37.0,1,Mr,2,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False
139,False,3,"Osen, Mr. Olaf Elon",16.0,0,0,7534,9.2167,,16.0,16.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
140,False,1,"Giglio, Mr. Victor",24.0,0,0,PC 17593,79.2,B86,24.0,24.0,1,Mr,1,1,False,True,True,False,False,False,True,False,False,False,False,False,False,False
141,False,3,"Boulos, Mrs. Joseph (Sultana)",,0,2,2678,15.2458,,28.0,24.0,0,Mrs,3,0,True,False,True,False,False,False,False,False,False,False,False,False,False,True
142,True,3,"Nysten, Miss. Anna Sofia",22.0,0,0,347081,7.75,,22.0,22.0,0,Miss,1,1,True,False,False,False,True,False,False,False,False,False,False,False,False,True
143,True,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.0,1,0,STON/O2. 3101279,15.85,,24.0,24.0,0,Mrs,2,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
144,False,3,"Burke, Mr. Jeremiah",19.0,0,0,365222,6.75,,19.0,19.0,0,Mr,1,1,False,True,False,True,False,False,False,False,False,False,False,False,False,True
145,False,2,"Andrew, Mr. Edgardo Samuel",18.0,0,0,231945,11.5,,18.0,18.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
146,False,2,"Nicholls, Mr. Joseph Charles",19.0,1,1,C.A. 33112,36.75,,19.0,19.0,0,Mr,3,0,False,True,False,False,True,False,False,False,False,False,False,False,False,True
147,True,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",27.0,0,0,350043,7.7958,,27.0,27.0,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
148,False,3,"Ford, Miss. Robina Maggie ""Ruby""",9.0,2,2,W./C. 6608,34.375,,9.0,9.0,0,Miss,5,0,True,False,False,False,True,False,False,False,False,False,False,False,False,True
149,False,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,0,2,230080,26.0,F2,36.5,36.5,1,Mr,3,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False
150,False,2,"Byles, Rev. Thomas Roussel Davids",42.0,0,0,244310,13.0,,42.0,42.0,0,Rev,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
151,False,2,"Bateman, Rev. Robert James",51.0,0,0,S.O.P. 1166,12.525,,51.0,51.0,0,Rev,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
152,True,1,"Pears, Mrs. Thomas (Edith Wearne)",22.0,1,0,113776,66.6,C2,22.0,22.0,1,Mrs,2,0,True,False,False,False,True,False,False,True,False,False,False,False,False,False
153,False,3,"Meo, Mr. Alfonzo",55.5,0,0,A.5. 11206,8.05,,55.5,55.5,0,Mr,1,1,False,True,False,False,True,False,False,False,False,False,False,False,False,True
